Held_out_formulation,N_test,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
4ALG8HA,5,-0.7631970613872741,0.044565994973545096,0.05390892249397089,-0.6,Pr,Pr_mean,core,RandomForest
6ALG2HA,5,-2.125159317143297,0.07277631746031714,0.07786083129383645,0.8207826816681233,Pr,Pr_mean,core,RandomForest
6ALG4HA,5,-2.8672565092688376,0.18312127195767164,0.21128668259120295,0.3,Pr,Pr_mean,core,RandomForest
6ALG6HA,5,-131.62517188547093,0.2002981587301577,0.2010575847629018,,Pr,Pr_mean,core,RandomForest
1ALG8HA,5,-4.370394612258769,0.08974652266379438,0.09564593560787654,0.7181848464596079,Pr,Pr_mean,core,GradientBoosting
2ALG8HA,5,-0.17874240282095388,0.06477265185947352,0.08880089006360084,0.3,Pr,Pr_mean,core,GradientBoosting
4ALG4HA,5,-13.5390567254145,0.14166190007787505,0.1447619245580256,0.15389675281277312,Pr,Pr_mean,core,GradientBoosting
4ALG6HA,5,-0.041214671330247254,0.05667481174685329,0.06291951028691349,0.7,Pr,Pr_mean,core,GradientBoosting
4ALG8HA,5,-3.459820881237486,0.07036209490980953,0.08573712830093433,0.0,Pr,Pr_mean,core,GradientBoosting
6ALG2HA,5,-15.524148156426929,0.1767708403530522,0.1790368776530781,0.8999999999999998,Pr,Pr_mean,core,GradientBoosting
6ALG4HA,5,-3.088781825058736,0.19170464946566196,0.21725391107123482,0.5773502691896257,Pr,Pr_mean,core,GradientBoosting
6ALG6HA,5,-97.56865454729885,0.17143358093889421,0.1733312606139372,0.0,Pr,Pr_mean,core,GradientBoosting
1ALG8HA,5,-1.2789774393488185,0.05934792671203615,0.06230651113073453,0.8207826816681233,Pr,Pr_mean,core,XGBoost
2ALG8HA,5,-0.4839067318405559,0.07747456350326536,0.09963482629550882,-0.09999999999999999,Pr,Pr_mean,core,XGBoost
4ALG4HA,5,-15.272125388525701,0.15017310066223144,0.15314695769098863,0.19999999999999998,Pr,Pr_mean,core,XGBoost
4ALG6HA,5,0.00483614310049163,0.05208305187225339,0.061512374447334046,0.49999999999999994,Pr,Pr_mean,core,XGBoost
4ALG8HA,5,-1.8396402937988672,0.05502770204544068,0.06841351268463741,-0.6668859288553501,Pr,Pr_mean,core,XGBoost
6ALG2HA,5,-8.037426291147858,0.12742035636901855,0.13240529074255408,0.9999999999999999,Pr,Pr_mean,core,XGBoost
6ALG4HA,5,-2.5969212484632695,0.17753524684906002,0.2037680547184975,0.5797509043642028,Pr,Pr_mean,core,XGBoost
6ALG6HA,5,-56.52264620767055,0.13066700553894045,0.13241186715735845,0.0,Pr,Pr_mean,core,XGBoost
1ALG8HA,5,-7208.971684288845,3.4911014849972863,3.504533373487114,-0.09999999999999999,Pr,Pr_mean,engineered,LinearRegression
2ALG8HA,5,-219.44003597287764,1.2032409495422627,1.2143757944939426,-0.9999999999999999,Pr,Pr_mean,engineered,LinearRegression
4ALG4HA,5,-7072.259911281994,3.1772527767087166,3.192978845173491,-0.49999999999999994,Pr,Pr_mean,engineered,LinearRegression
4ALG6HA,5,-194.6829569231366,0.8539158323820633,0.8625647288724905,0.3,Pr,Pr_mean,engineered,LinearRegression
4ALG8HA,5,-414776.98208631814,25.995896810822405,26.146771525256288,0.6,Pr,Pr_mean,engineered,LinearRegression
6ALG2HA,5,-244.06061892343138,0.5615687207091629,0.689476896648778,0.09999999999999999,Pr,Pr_mean,engineered,LinearRegression
6ALG4HA,5,-116.83049323317933,1.1580843421833453,1.1662710155390676,-0.49999999999999994,Pr,Pr_mean,engineered,LinearRegression
6ALG6HA,5,-54767707.18836679,129.05917993850872,129.20215731873117,0.3,Pr,Pr_mean,engineered,LinearRegression
1ALG8HA,5,-1.4292185417775776,0.06299113260661322,0.06432750603595318,-0.09999999999999999,Pr,Pr_mean,engineered,SVR_RBF
2ALG8HA,5,-0.89878047699822,0.08377837887168374,0.11270553485185082,-0.9999999999999999,Pr,Pr_mean,engineered,SVR_RBF
4ALG4HA,5,-0.8333164136996511,0.04194730902991084,0.051404950598654756,-0.49999999999999994,Pr,Pr_mean,engineered,SVR_RBF
4ALG6HA,5,-3.0769449037791565,0.09851657142731356,0.12450380249355021,0.3,Pr,Pr_mean,engineered,SVR_RBF
4ALG8HA,5,-1.3553514443591679,0.05284716906589724,0.06230717827546482,0.6,Pr,Pr_mean,engineered,SVR_RBF
6ALG2HA,5,-1.1971622369870327,0.06006400762804418,0.06528509166568529,0.09999999999999999,Pr,Pr_mean,engineered,SVR_RBF
6ALG4HA,5,-3.4762534009786323,0.20106958762767593,0.2273149329884355,0.3,Pr,Pr_mean,engineered,SVR_RBF
6ALG6HA,5,-21.87304231452867,0.08027204424420202,0.08349672626797006,-0.3,Pr,Pr_mean,engineered,SVR_RBF
1ALG8HA,5,-2.2282145706407226,0.07150016402116395,0.07415571338886995,-0.3,Pr,Pr_mean,engineered,RandomForest
2ALG8HA,5,-0.13581783417970494,0.06903230423280424,0.08716902878780255,-0.7,Pr,Pr_mean,engineered,RandomForest
4ALG4HA,5,-3.8923058459480417,0.07732813994709013,0.08397365035602351,0.7,Pr,Pr_mean,engineered,RandomForest
4ALG6HA,5,-0.12684042567441045,0.05757667698412692,0.06545553905424824,0.09999999999999999,Pr,Pr_mean,engineered,RandomForest
4ALG8HA,5,-0.13201984690445534,0.03379574153439173,0.043195374665139785,0.6,Pr,Pr_mean,engineered,RandomForest
6ALG2HA,5,-10.236483740299992,0.14099501746031695,0.14763800533325952,-0.19999999999999998,Pr,Pr_mean,engineered,RandomForest
6ALG4HA,5,-2.5707025210123375,0.1755076984126973,0.20302404197916563,0.49999999999999994,Pr,Pr_mean,engineered,RandomForest
6ALG6HA,5,-17.802793751754923,0.07345072380952274,0.07570397304986633,-0.09999999999999999,Pr,Pr_mean,engineered,RandomForest
1ALG8HA,5,-10.636697771644384,0.13508916958098935,0.14079210365688086,-0.09999999999999999,Pr,Pr_mean,engineered,GradientBoosting
2ALG8HA,5,-0.12243276400746406,0.06020930155387698,0.08665388394046564,0.3,Pr,Pr_mean,engineered,GradientBoosting
4ALG4HA,5,-5.897123190325038,0.0937231232753321,0.09970575450598086,0.49999999999999994,Pr,Pr_mean,engineered,GradientBoosting
4ALG6HA,5,-0.6531656869377569,0.0631899643979515,0.07928177879088777,0.3,Pr,Pr_mean,engineered,GradientBoosting
4ALG8HA,5,-0.5170511851583752,0.04175967245420524,0.050004644238564884,0.8999999999999998,Pr,Pr_mean,engineered,GradientBoosting
6ALG2HA,5,-29.674530236479782,0.24125789354727628,0.24393376300531466,0.39999999999999997,Pr,Pr_mean,engineered,GradientBoosting
6ALG4HA,5,-2.4684441364803025,0.1762932105712259,0.2000958063875253,0.46169025843831935,Pr,Pr_mean,engineered,GradientBoosting
6ALG6HA,5,-10.833990136376988,0.05702618595156861,0.06005830661588534,0.0,Pr,Pr_mean,engineered,GradientBoosting
1ALG8HA,5,-8.013212529216979,0.11857133026123046,0.12390910681128063,-0.20519567041703082,Pr,Pr_mean,engineered,XGBoost
2ALG8HA,5,-0.14849292786329404,0.06226584129333494,0.08765405825480628,-0.09999999999999999,Pr,Pr_mean,engineered,XGBoost
4ALG4HA,5,-14.188189565182444,0.14313388748168945,0.1479582674664428,0.7,Pr,Pr_mean,engineered,XGBoost
4ALG6HA,5,-0.7428878889135604,0.06598580322265621,0.08140478251129711,0.3,Pr,Pr_mean,engineered,XGBoost
4ALG8HA,5,-0.4717185181519805,0.043153574657440186,0.049251856110798714,-0.09999999999999999,Pr,Pr_mean,engineered,XGBoost
6ALG2HA,5,-28.275121491982816,0.23633847484588624,0.23830453557372344,0.41039134083406165,Pr,Pr_mean,engineered,XGBoost
6ALG4HA,5,-2.1636919104246197,0.16561214828491208,0.19110309766505,0.7,Pr,Pr_mean,engineered,XGBoost
6ALG6HA,5,-45.447152234164896,0.11700571632385257,0.11898357870300182,-0.7999999999999999,Pr,Pr_mean,engineered,XGBoost
1ALG8HA,5,-3770.6709857744586,2.5161181682649385,2.5347219224221886,-0.09999999999999999,Pr,Pr_mean,rheology_enhanced,LinearRegression
2ALG8HA,5,-73.53805645090455,0.6868244928437615,0.706149893130006,-0.9999999999999999,Pr,Pr_mean,rheology_enhanced,LinearRegression
4ALG4HA,5,-6926.367717871888,3.1439866467925204,3.159878278325267,-0.49999999999999994,Pr,Pr_mean,rheology_enhanced,LinearRegression
4ALG6HA,5,-8.277219992329737,0.17337733536580374,0.18781233922731605,0.3,Pr,Pr_mean,rheology_enhanced,LinearRegression
4ALG8HA,5,-377779.0083381476,24.79526387736623,24.953398985774832,0.6,Pr,Pr_mean,rheology_enhanced,LinearRegression
6ALG2HA,5,-4494.466724597749,2.9134866913321096,2.9530469300442395,0.09999999999999999,Pr,Pr_mean,rheology_enhanced,LinearRegression
6ALG4HA,5,-28.999349499073713,0.5720767018514283,0.5884730162696564,-0.49999999999999994,Pr,Pr_mean,rheology_enhanced,LinearRegression
6ALG6HA,5,-54088287.064544,128.25437486752307,128.398248438493,0.3,Pr,Pr_mean,rheology_enhanced,LinearRegression
1ALG8HA,5,-1.0091818633046885,0.05701955304555169,0.05850231408438246,-0.09999999999999999,Pr,Pr_mean,rheology_enhanced,SVR_RBF
2ALG8HA,5,-0.7518330650527691,0.07991259719949517,0.10825656059524803,-0.9999999999999999,Pr,Pr_mean,rheology_enhanced,SVR_RBF
4ALG4HA,5,-8.541960223295336,0.11127915702397224,0.11727488984198195,-0.3,Pr,Pr_mean,rheology_enhanced,SVR_RBF
4ALG6HA,5,-4.371821256619183,0.11291938172685434,0.14291439363852473,0.3,Pr,Pr_mean,rheology_enhanced,SVR_RBF
4ALG8HA,5,-0.5726896360302449,0.04035975952727573,0.050913357438794896,0.6,Pr,Pr_mean,rheology_enhanced,SVR_RBF
6ALG2HA,5,-0.32922782341077594,0.030588450765853946,0.050778827290172454,0.09999999999999999,Pr,Pr_mean,rheology_enhanced,SVR_RBF
6ALG4HA,5,-3.8232135234475804,0.21024674756167627,0.23596026705627682,-0.09999999999999999,Pr,Pr_mean,rheology_enhanced,SVR_RBF
6ALG6HA,5,-2.7439988654189147,0.030166473942994054,0.033781220436504104,-0.3,Pr,Pr_mean,rheology_enhanced,SVR_RBF
1ALG8HA,5,-3.123589599154604,0.0804704788359784,0.0838110223466097,-0.3,Pr,Pr_mean,rheology_enhanced,RandomForest
2ALG8HA,5,-0.05864614489150077,0.06710356693121744,0.08415564940003108,-0.39999999999999997,Pr,Pr_mean,rheology_enhanced,RandomForest
4ALG4HA,5,-2.6736672081300816,0.06433689312169373,0.07276727950879014,0.8999999999999998,Pr,Pr_mean,rheology_enhanced,RandomForest
4ALG6HA,5,-0.07193212656188575,0.05644204285714298,0.06384087604606112,0.09999999999999999,Pr,Pr_mean,rheology_enhanced,RandomForest
4ALG8HA,5,-0.08613528095604317,0.03270126772486757,0.04231089239762013,0.49999999999999994,Pr,Pr_mean,rheology_enhanced,RandomForest
6ALG2HA,5,-2.5474179277580453,0.07619835317460333,0.0829543440271947,0.7,Pr,Pr_mean,rheology_enhanced,RandomForest
6ALG4HA,5,-2.687939282588042,0.17887130476190344,0.2063300654351743,0.3,Pr,Pr_mean,rheology_enhanced,RandomForest
6ALG6HA,5,-1.8493544790954126,0.025133766666666047,0.0294700397900695,0.10259783520851541,Pr,Pr_mean,rheology_enhanced,RandomForest
1ALG8HA,5,-7.721524326925824,0.11294073098271326,0.1218876261129837,-0.09999999999999999,Pr,Pr_mean,rheology_enhanced,GradientBoosting
2ALG8HA,5,-0.07367891605467736,0.06327973123379063,0.08475104813380903,0.09999999999999999,Pr,Pr_mean,rheology_enhanced,GradientBoosting
4ALG4HA,5,-1.3078007277871722,0.051947780755589944,0.05767470552160043,0.7,Pr,Pr_mean,rheology_enhanced,GradientBoosting
4ALG6HA,5,-0.18421168728862436,0.05710175847358179,0.06710113493035208,0.3,Pr,Pr_mean,rheology_enhanced,GradientBoosting
4ALG8HA,5,-0.5356411643976706,0.037067902333254965,0.05031009036770673,0.49999999999999994,Pr,Pr_mean,rheology_enhanced,GradientBoosting
6ALG2HA,5,-18.66968160899925,0.19184980722064257,0.19533569866361128,0.3,Pr,Pr_mean,rheology_enhanced,GradientBoosting
6ALG4HA,5,-2.594171957388496,0.18051843916255975,0.2036901652198992,0.46169025843831935,Pr,Pr_mean,rheology_enhanced,GradientBoosting
6ALG6HA,5,-0.061028837289213156,0.014897792640354512,0.01798336980673398,0.0,Pr,Pr_mean,rheology_enhanced,GradientBoosting
1ALG8HA,5,-8.413068001338173,0.12242701168060302,0.1266277874567801,-0.09999999999999999,Pr,Pr_mean,rheology_enhanced,XGBoost
2ALG8HA,5,-0.13854311248221363,0.06221145858764647,0.08727354270114171,-0.09999999999999999,Pr,Pr_mean,rheology_enhanced,XGBoost
4ALG4HA,5,-2.8279805769664845,0.06850932521820068,0.07427986324985006,0.8720815992723809,Pr,Pr_mean,rheology_enhanced,XGBoost
4ALG6HA,5,-0.39244799868623215,0.05524008245468139,0.07276200988623695,0.3,Pr,Pr_mean,rheology_enhanced,XGBoost
4ALG8HA,5,-0.6718806550663052,0.045015146923065186,0.05249438608943329,0.49999999999999994,Pr,Pr_mean,rheology_enhanced,XGBoost
6ALG2HA,5,-25.842041277381053,0.22653885135650637,0.22818690880836026,0.8207826816681233,Pr,Pr_mean,rheology_enhanced,XGBoost
6ALG4HA,5,-2.2449875040910956,0.16825325393676754,0.193542857662653,0.7,Pr,Pr_mean,rheology_enhanced,XGBoost
6ALG6HA,5,-5.4896781546107976,0.04006036376953128,0.04447531789122328,-0.49999999999999994,Pr,Pr_mean,rheology_enhanced,XGBoost
1ALG8HA,6,-0.0832361786307596,1.0667627840358096,1.1828121445405948,0.4285714285714286,SR,SR_mean,core,LinearRegression
2ALG8HA,5,0.1675643452864921,0.7870016624014385,1.2486250873789464,0.7999999999999999,SR,SR_mean,core,LinearRegression
4ALG4HA,6,0.23346724132378982,1.1095345548237538,1.1459831998275036,0.942857142857143,SR,SR_mean,core,LinearRegression
4ALG6HA,5,0.4116435213907299,0.5917360918727501,0.6630019769567538,0.7,SR,SR_mean,core,LinearRegression
4ALG8HA,5,-2.504134277949622,1.0793046949447789,1.1462057774787355,0.8999999999999998,SR,SR_mean,core,LinearRegression
6ALG2HA,6,-1.674749809343214,1.3092770874628703,2.069293470527727,0.14285714285714288,SR,SR_mean,core,LinearRegression
6ALG4HA,5,-15.218978067368504,1.9957018429824864,2.015097611020122,0.9999999999999999,SR,SR_mean,core,LinearRegression
6ALG6HA,5,-0.726146465141648,0.6146630937485084,0.7062455136428566,0.6,SR,SR_mean,core,LinearRegression
1ALG8HA,6,-0.540533392356366,1.2963672875688894,1.4105541240029793,0.4285714285714286,SR,SR_mean,core,SVR_RBF
2ALG8HA,5,-0.43043431031351775,1.3628314705466529,1.6367813918883634,-0.7,SR,SR_mean,core,SVR_RBF
4ALG4HA,6,0.3945136666679311,0.7494051206707942,1.0185094516162205,0.942857142857143,SR,SR_mean,core,SVR_RBF
4ALG6HA,5,0.2110329739310085,0.703863932432852,0.7677573447046198,0.6,SR,SR_mean,core,SVR_RBF
4ALG8HA,5,-6.385480929379282,1.6030614516945136,1.6640317703898455,0.8999999999999998,SR,SR_mean,core,SVR_RBF
6ALG2HA,6,-1.0346042198691698,1.5297336164406428,1.8047642318242534,0.14285714285714288,SR,SR_mean,core,SVR_RBF
6ALG4HA,5,-1.592201386741038,0.6838258786390705,0.8055986211131952,-0.9999999999999999,SR,SR_mean,core,SVR_RBF
