Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label
52,40,80,130,90,1.34172,0.0445454,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA
53,40,80,150,90,1.42105,0.0145608,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA
54,40,80,110,120,1.22687,0.0203316,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA
55,40,80,130,120,1.18756,0.0206974,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA
56,40,80,140,120,1.18237,0.0173148,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA
57,40,80,150,120,1.19584,0.0204479,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA
58,60,20,50,60,1.80075,0.120007,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
59,60,20,55,60,1.93806,0.0437234,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
60,60,20,60,60,2.0106,0.0630045,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
61,60,20,65,60,2.31133,0.0988328,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
62,60,20,50,90,1.5134,0.0504629,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
63,60,20,55,90,1.53985,0.0697319,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
64,60,20,60,90,1.49433,0.0310203,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
65,60,20,65,90,1.4624,0.0374672,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
66,60,20,70,90,1.62994,0.0274714,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
67,60,20,50,120,1.09488,0.0162623,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
68,60,20,55,120,1.21931,0.0365402,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
69,60,20,65,120,1.22121,0.00902439,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
70,60,20,70,120,1.27114,0.0290935,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA
71,60,40,95,60,2.36855,0.123116,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
72,60,40,100,60,1.56292,0.0428463,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
73,60,40,105,60,1.7423,0.0698619,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
74,60,40,90,90,1.41795,0.0411236,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
75,60,40,95,90,1.31523,0.00945609,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
76,60,40,100,90,1.32876,0.0307992,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
77,60,40,105,90,1.46489,0.0155806,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
78,60,40,85,120,1.17845,0.0104487,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
79,60,40,90,120,1.14397,0.0103393,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
80,60,40,95,120,1.19772,0.0201288,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
81,60,40,100,120,1.16671,0.0273399,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
82,60,40,105,120,1.11558,0.0117484,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA
83,60,60,140,60,1.50363,0.047354,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
84,60,60,150,60,1.81434,0.0715356,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
85,60,60,155,60,1.78987,0.0386035,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
86,60,60,160,60,1.70334,0.0283493,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
87,60,60,140,90,1.27302,0.0232889,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
88,60,60,145,90,1.4647,0.0146547,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
89,60,60,150,90,1.62833,0.0337752,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
90,60,60,155,90,1.49292,0.0278472,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
91,60,60,160,90,1.54228,0.0432433,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
92,60,60,140,120,1.20107,0.00993045,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
93,60,60,145,120,1.21688,0.0252817,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
94,60,60,150,120,1.30275,0.00780293,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
95,60,60,155,120,1.35987,0.0105086,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
96,60,60,160,120,1.16353,0.0154409,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA
