Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
43,0.3961858708683126,0.05641199324379148,0.06414872821968352,0.6904761904761906,Pr,Pr_mean,core,LinearRegression
44,-1.3516475475661927,0.06320597605209323,0.08681416756217426,0.30952380952380953,Pr,Pr_mean,core,LinearRegression
45,-0.23274883392640566,0.07381030323919253,0.08813720427258429,0.0,Pr,Pr_mean,core,LinearRegression
46,-0.14499628024320232,0.0675746907147179,0.08102003322677298,0.1666666666666667,Pr,Pr_mean,core,LinearRegression
47,0.6919422427935328,0.04045681209133062,0.043611114860582306,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
48,-3.150600897474603,0.0694252968289668,0.08377089956701059,-0.19047619047619052,Pr,Pr_mean,core,LinearRegression
49,0.4637735693223777,0.05111818463743087,0.07073373107250568,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
50,0.33862612406863135,0.07203377954917559,0.11931847885708073,0.8095238095238096,Pr,Pr_mean,core,LinearRegression
51,-1.5158790584408814,0.06181767983797491,0.07292312470909526,0.6666666666666669,Pr,Pr_mean,core,LinearRegression
52,0.14866202749619417,0.08155459354436125,0.12298905257107726,0.5476190476190477,Pr,Pr_mean,core,LinearRegression
53,0.4386394424508224,0.0657869171089177,0.08688110246668321,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
54,-0.37160230962260465,0.05813313132049733,0.08233126491721615,0.2380952380952381,Pr,Pr_mean,core,LinearRegression
55,0.463339582347987,0.03663263540663632,0.04546959708425376,0.7065994945288229,Pr,Pr_mean,core,LinearRegression
56,0.5526085103364189,0.046329311919648106,0.055785546874900914,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
57,0.03584017730774558,0.05148172055493437,0.06635738726952936,0.523809523809524,Pr,Pr_mean,core,LinearRegression
58,0.3402289399180263,0.0630392181160746,0.11244704137852267,0.9761904761904763,Pr,Pr_mean,core,LinearRegression
59,-0.1257739498248054,0.05752714823828402,0.06649405686013571,0.5476190476190477,Pr,Pr_mean,core,LinearRegression
60,0.048010644214357856,0.07778664750892417,0.09763692199503622,0.2380952380952381,Pr,Pr_mean,core,LinearRegression
61,0.24291435175549314,0.05702887583641085,0.07261995266313467,0.8571428571428572,Pr,Pr_mean,core,LinearRegression
62,-1.1316651729468314,0.052984764662163925,0.06242315779322988,0.8982196964349441,Pr,Pr_mean,core,LinearRegression
63,-0.4129442581983944,0.06343458177259795,0.07606348336263519,0.3571428571428572,Pr,Pr_mean,core,LinearRegression
64,0.5695989615514648,0.03326018519496808,0.039406686573756934,0.8095238095238096,Pr,Pr_mean,core,LinearRegression
65,0.3700250612116741,0.09493960575512038,0.1274242312077912,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
66,0.4986609259004017,0.05244190294864953,0.05955332018409287,0.8862434338158116,Pr,Pr_mean,core,LinearRegression
67,0.5690228444120355,0.04277698647345453,0.04867985096526511,0.730552019767088,Pr,Pr_mean,core,LinearRegression
68,0.29779783379921787,0.0682014983815225,0.11486678677020913,0.5476190476190477,Pr,Pr_mean,core,LinearRegression
69,-3.707726285810348,0.07402306819041961,0.08976887249896737,0.14285714285714288,Pr,Pr_mean,core,LinearRegression
70,0.43111378531219435,0.062025334694423354,0.07717298608688558,0.8095238095238096,Pr,Pr_mean,core,LinearRegression
71,0.2782347545145881,0.05403129205827145,0.06426593108636128,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
72,0.6312111856797513,0.034087015595837794,0.03746717042138095,0.8095238095238096,Pr,Pr_mean,core,LinearRegression
73,0.27340732658570144,0.08994003962895322,0.12624144347440291,0.4761904761904762,Pr,Pr_mean,core,LinearRegression
74,0.526617050956182,0.053578510066516566,0.06678394867147039,0.7857142857142858,Pr,Pr_mean,core,LinearRegression
75,0.25687650701579345,0.05853046057162023,0.06343364985271015,0.30952380952380953,Pr,Pr_mean,core,LinearRegression
76,0.22391385907532468,0.0624156248443693,0.0814795664901733,0.4761904761904762,Pr,Pr_mean,core,LinearRegression
77,0.27052946882602813,0.07967134739646244,0.11737064630301591,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
78,-0.4238071003813906,0.04128787328823426,0.045589498952957726,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
79,-0.6627245934725268,0.08608349358529564,0.09666271697515469,0.11904761904761905,Pr,Pr_mean,core,LinearRegression
80,0.749492835317249,0.02956442238316978,0.035384933541001785,0.7857142857142858,Pr,Pr_mean,core,LinearRegression
81,0.6248995506471144,0.05203598154014999,0.06494111276523393,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
82,0.32287306668732474,0.06800287090620145,0.1143314083919763,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
83,-2.970206309621608,0.08229135702985063,0.09995976538221057,0.2142857142857143,Pr,Pr_mean,core,LinearRegression
