Run,Alg_mg_ml,HA_mg_ml,Eta0_Pa_s,Cross_m,Cross_k_s,G_prime_LVE_Pa,G_double_prime_LVE_Pa,Yield_stress_Pa,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,Alg_x_HA,Alg_fraction_x_HA_fraction
13,40,80,429.922,0.807125,0.533299,481.729,584.872,551.896,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,3200,0.2222222222222222
14,40,80,627.275,0.868908,0.592477,485.604,582.931,562.351,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,3200,0.2222222222222222
15,40,80,720.634,0.820207,0.891118,462.978,563.69,589.076,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,3200,0.2222222222222222
16,60,20,42.4777,0.619607,0.123291,67.8291,151.783,344.064,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,1200,0.1875
17,60,20,43.6288,0.482242,0.2706,71.4151,159.942,377.903,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,1200,0.1875
18,60,20,79.5261,0.587807,0.156502,69.5039,157.687,319.316,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,80,8.0,0.25,0.75,3.0,1200,0.1875
19,60,40,309.773,0.579064,1.21938,282.158,409.129,579.767,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,2400,0.24
20,60,40,272.174,0.619333,0.783726,220.196,342.292,527.459,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,2400,0.24
21,60,40,154.963,0.705315,0.20098,215.685,305.333,550.613,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,2400,0.24
22,60,60,368.777,0.876524,0.321061,409.564,548.005,728.99,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,3600,0.25
23,60,60,461.591,0.874637,0.399713,465.543,618.049,812.845,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,3600,0.25
24,60,60,500.218,0.832547,0.55101,583.156,731.616,740.711,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,3600,0.25
25,10,40,17.3976,0.81582,0.102216,25.4874,55.5448,89.938,1.0,4.0,50,5.0,0.8,0.2,0.25,1ALG4HA,50,5.0,0.8,0.2,0.25,400,0.16000000000000003
26,10,40,10.7996,0.752467,0.0978945,32.9381,73.0738,101.116,1.0,4.0,50,5.0,0.8,0.2,0.25,1ALG4HA,50,5.0,0.8,0.2,0.25,400,0.16000000000000003
27,10,40,27.5373,0.994333,0.113069,36.3581,75.9214,134.286,1.0,4.0,50,5.0,0.8,0.2,0.25,1ALG4HA,50,5.0,0.8,0.2,0.25,400,0.16000000000000003
28,10,60,85.4876,0.798231,0.162716,102.919,182.826,345.995,1.0,6.0,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,1ALG6HA,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,600,0.12244897959183672
29,10,60,125.104,0.827367,0.196981,126.577,212.279,386.637,1.0,6.0,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,1ALG6HA,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,600,0.12244897959183672
30,10,60,105.464,0.88239,0.204083,94.8642,159.559,274.288,1.0,6.0,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,1ALG6HA,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,600,0.12244897959183672
31,10,20,1.07972,0.792742,0.0163589,1.24531,5.61121,9.23615,1.0,2.0,30,3.0,0.6666666666666666,0.3333333333333333,0.5,1ALG2HA,30,3.0,0.6666666666666666,0.3333333333333333,0.5,200,0.2222222222222222
32,10,20,1.65765,0.816741,0.013645,1.7431,7.58322,11.2769,1.0,2.0,30,3.0,0.6666666666666666,0.3333333333333333,0.5,1ALG2HA,30,3.0,0.6666666666666666,0.3333333333333333,0.5,200,0.2222222222222222
33,10,20,2.28101,0.788162,0.0213297,1.69927,7.42938,12.3149,1.0,2.0,30,3.0,0.6666666666666666,0.3333333333333333,0.5,1ALG2HA,30,3.0,0.6666666666666666,0.3333333333333333,0.5,200,0.2222222222222222
34,20,20,9.50184,0.759762,0.0219009,19.6786,58.5346,133.526,2.0,2.0,40,4.0,0.5,0.5,1.0,2ALG2HA,40,4.0,0.5,0.5,1.0,400,0.25
35,20,20,11.134,0.699697,0.0262325,23.4917,67.7755,111.419,2.0,2.0,40,4.0,0.5,0.5,1.0,2ALG2HA,40,4.0,0.5,0.5,1.0,400,0.25
36,20,20,10.8441,0.73763,0.0335717,26.3829,73.3926,124.915,2.0,2.0,40,4.0,0.5,0.5,1.0,2ALG2HA,40,4.0,0.5,0.5,1.0,400,0.25
37,20,40,37.8958,0.74955,0.0779691,60.0132,129.265,182.209,2.0,4.0,60,6.0,0.6666666666666666,0.3333333333333333,0.5,2ALG4HA,60,6.0,0.6666666666666666,0.3333333333333333,0.5,800,0.2222222222222222
38,20,40,47.0283,0.87239,0.0758585,99.3036,174.63,327.126,2.0,4.0,60,6.0,0.6666666666666666,0.3333333333333333,0.5,2ALG4HA,60,6.0,0.6666666666666666,0.3333333333333333,0.5,800,0.2222222222222222
