Target,Model,Feature_set,Feature,Importance_mean_RMSE_increase,Importance_std,Abs_importance_mean
Pr,LinearRegression,core,Alg_mg_ml,0.1345427585121713,0.015617006518141425,0.1345427585121713
Pr,LinearRegression,core,Pressure_kPa,0.09143751639023835,0.011750570278007024,0.09143751639023835
Pr,LinearRegression,core,HA_mg_ml,0.07911294537694506,0.013052266822647703,0.07911294537694506
SR,SVR_RBF,rheology_enhanced,P_over_TP,0.3381819746040472,0.059224019265447514,0.3381819746040472
SR,SVR_RBF,rheology_enhanced,P_over_HA,0.25227017169638016,0.03639791876484856,0.25227017169638016
SR,SVR_RBF,rheology_enhanced,Pressure_kPa,0.06850150527395762,0.02682150426694612,0.06850150527395762
SR,SVR_RBF,rheology_enhanced,Eta0_mean_Pa_s,0.0617032412286103,0.02861405628958402,0.0617032412286103
SR,SVR_RBF,rheology_enhanced,G_prime_mean_Pa,0.04856714852949178,0.023699566712331706,0.04856714852949178
SR,SVR_RBF,rheology_enhanced,G_double_prime_mean_Pa,0.0464604124712225,0.02535641747130967,0.0464604124712225
SR,SVR_RBF,rheology_enhanced,P_over_Alg,0.044282228202359025,0.03716029828413224,0.044282228202359025
SR,SVR_RBF,rheology_enhanced,TP,0.03804787576014143,0.02493638542648255,0.03804787576014143
SR,SVR_RBF,rheology_enhanced,TP_pct_wv,0.03804787576014137,0.02493638542648258,0.03804787576014137
SR,SVR_RBF,rheology_enhanced,Cross_m_mean,0.037970678623918556,0.016981109531939955,0.037970678623918556
SR,SVR_RBF,rheology_enhanced,HA_mg_ml,0.032884793751415294,0.01924817511499922,0.032884793751415294
SR,SVR_RBF,rheology_enhanced,Alg_x_P,0.027699367433833767,0.025896266425009775,0.027699367433833767
SR,SVR_RBF,rheology_enhanced,Cross_k_mean_s,0.024981110788794406,0.01953172152437719,0.024981110788794406
SR,SVR_RBF,rheology_enhanced,Alg_HA_ratio_safe,0.022600753951640903,0.021147226090752046,0.022600753951640903
SR,SVR_RBF,rheology_enhanced,Yield_stress_mean_Pa,0.020855587525063956,0.018805112641313872,0.020855587525063956
SR,SVR_RBF,rheology_enhanced,HF_x_P,0.020476893080390267,0.0258372900509957,0.020476893080390267
SR,SVR_RBF,rheology_enhanced,Alg_x_HA,0.018593705525003328,0.028153135463222782,0.018593705525003328
SR,SVR_RBF,rheology_enhanced,HA_x_P,0.014818601840662733,0.014762324388503705,0.014818601840662733
SR,SVR_RBF,rheology_enhanced,HF,0.014313160202321831,0.019956678647119752,0.014313160202321831
SR,SVR_RBF,rheology_enhanced,Alg_fraction_feature,0.014313160202321831,0.01995667864711985,0.014313160202321831
SR,SVR_RBF,rheology_enhanced,TP_x_P,0.01094939994770161,0.013982091875225026,0.01094939994770161
SR,SVR_RBF,rheology_enhanced,Alg_mg_ml,0.0010892634381861033,0.018762011214725857,0.0010892634381861033
SR,SVR_RBF,rheology_enhanced,Alg_fraction_x_HA_fraction,-0.002333625947281164,0.02043285826368347,0.002333625947281164
Qm,SVR_RBF,engineered,P_over_TP,0.6050796453117393,0.08173697424793096,0.6050796453117393
Qm,SVR_RBF,engineered,TP,0.2851249564115398,0.03983009608345289,0.2851249564115398
Qm,SVR_RBF,engineered,TP_pct_wv,0.2851249564115397,0.0398300960834529,0.2851249564115397
Qm,SVR_RBF,engineered,Alg_mg_ml,0.1782494444378526,0.029621745445019783,0.1782494444378526
Qm,SVR_RBF,engineered,P_over_Alg,0.17504439318959822,0.024133902142425983,0.17504439318959822
Qm,SVR_RBF,engineered,Alg_HA_ratio_safe,0.15482584880855912,0.02731915365324019,0.15482584880855912
Qm,SVR_RBF,engineered,Alg_x_P,0.15308672075822083,0.026517406244445825,0.15308672075822083
