Target,Target_column,Feature_set,Feature,Pearson_r,Spearman_r,Abs_Pearson_r,Abs_Spearman_r,N
Pr,Pr_mean,rheology_enhanced,Alg_mg_ml,0.45359423522232556,0.4646029409951102,0.45359423522232556,0.4646029409951102,40
Pr,Pr_mean,rheology_enhanced,HA_mg_ml,-0.5194417613474446,-0.5930019744614208,0.5194417613474446,0.5930019744614208,40
Pr,Pr_mean,rheology_enhanced,Pressure_kPa,-0.28280027916679873,-0.3354971993460578,0.28280027916679873,0.3354971993460578,40
Pr,Pr_mean,rheology_enhanced,TP,-0.20269077955443587,-0.2803148291188602,0.20269077955443587,0.2803148291188602,40
Pr,Pr_mean,rheology_enhanced,TP_pct_wv,-0.20269077955443582,-0.2803148291188602,0.20269077955443582,0.2803148291188602,40
Pr,Pr_mean,rheology_enhanced,HF,-0.5048748575979581,-0.5846105208003537,0.5048748575979581,0.5846105208003537,40
Pr,Pr_mean,rheology_enhanced,Alg_fraction_feature,0.5048748575979582,0.5846105208003537,0.5048748575979582,0.5846105208003537,40
Pr,Pr_mean,rheology_enhanced,Alg_HA_ratio_safe,0.45902814320294727,0.5846105208003537,0.45902814320294727,0.5846105208003537,40
Pr,Pr_mean,rheology_enhanced,P_over_TP,-0.2972862749266017,-0.3241735235520479,0.2972862749266017,0.3241735235520479,40
Pr,Pr_mean,rheology_enhanced,P_over_Alg,-0.45730192242347195,-0.6148540892228046,0.45730192242347195,0.6148540892228046,40
Pr,Pr_mean,rheology_enhanced,P_over_HA,0.3494204577496156,0.3786549359244001,0.3494204577496156,0.3786549359244001,40
Pr,Pr_mean,rheology_enhanced,Alg_x_HA,-0.04051383328425007,-0.08180245244972457,0.04051383328425007,0.08180245244972457,40
Pr,Pr_mean,rheology_enhanced,Alg_x_P,0.11339711896131516,0.15829228260441786,0.11339711896131516,0.15829228260441786,40
Pr,Pr_mean,rheology_enhanced,HA_x_P,-0.5019292064337374,-0.5829501761612627,0.5019292064337374,0.5829501761612627,40
Pr,Pr_mean,rheology_enhanced,TP_x_P,-0.2759587103489203,-0.33685509015226595,0.2759587103489203,0.33685509015226595,40
Pr,Pr_mean,rheology_enhanced,HF_x_P,-0.5553463779747969,-0.6233991656716289,0.5553463779747969,0.6233991656716289,40
Pr,Pr_mean,rheology_enhanced,Alg_fraction_x_HA_fraction,0.23517910141312587,0.14255632064337967,0.23517910141312587,0.14255632064337967,40
Pr,Pr_mean,rheology_enhanced,Eta0_mean_Pa_s,-0.2920237840513068,-0.3904069534361539,0.2920237840513068,0.3904069534361539,40
Pr,Pr_mean,rheology_enhanced,Cross_m_mean,-0.45109088204898,-0.4806826533227222,0.45109088204898,0.4806826533227222,40
Pr,Pr_mean,rheology_enhanced,Cross_k_mean_s,0.17855297956033325,0.24624942220367574,0.17855297956033325,0.24624942220367574,40
Pr,Pr_mean,rheology_enhanced,G_prime_mean_Pa,-0.36820882874605,-0.5118773977861436,0.36820882874605,0.5118773977861436,40
Pr,Pr_mean,rheology_enhanced,G_double_prime_mean_Pa,-0.3333913883408965,-0.3743369335610579,0.3333913883408965,0.3743369335610579,40
Pr,Pr_mean,rheology_enhanced,Yield_stress_mean_Pa,-0.23746127175054135,-0.4527964423629969,0.23746127175054135,0.4527964423629969,40
SR,SR_mean,rheology_enhanced,Alg_mg_ml,0.19382671147678807,0.24855151186779967,0.19382671147678807,0.24855151186779967,43
SR,SR_mean,rheology_enhanced,HA_mg_ml,-0.3999006408479816,-0.4300556604580946,0.3999006408479816,0.4300556604580946,43
SR,SR_mean,rheology_enhanced,Pressure_kPa,-0.14973331011019314,-0.1224508502945086,0.14973331011019314,0.1224508502945086,43
SR,SR_mean,rheology_enhanced,TP,-0.35235403904057816,-0.31502148052877,0.35235403904057816,0.31502148052877,43
SR,SR_mean,rheology_enhanced,TP_pct_wv,-0.35235403904057844,-0.31502148052877,0.35235403904057844,0.31502148052877,43
SR,SR_mean,rheology_enhanced,HF,-0.29063643078088885,-0.3644595766455105,0.29063643078088885,0.3644595766455105,43
SR,SR_mean,rheology_enhanced,Alg_fraction_feature,0.2906364307808888,0.3644595766455105,0.2906364307808888,0.3644595766455105,43
SR,SR_mean,rheology_enhanced,Alg_HA_ratio_safe,0.27419155618392566,0.3644595766455105,0.27419155618392566,0.3644595766455105,43
SR,SR_mean,rheology_enhanced,P_over_TP,0.05765539498978749,0.05315896739024325,0.05765539498978749,0.05315896739024325,43
SR,SR_mean,rheology_enhanced,P_over_Alg,-0.12310264154186909,-0.27475266923764474,0.12310264154186909,0.27475266923764474,43
SR,SR_mean,rheology_enhanced,P_over_HA,0.24932145926930518,0.3721528191555742,0.24932145926930518,0.3721528191555742,43
SR,SR_mean,rheology_enhanced,Alg_x_HA,-0.22496142878677425,-0.16899921572112933,0.22496142878677425,0.16899921572112933,43
SR,SR_mean,rheology_enhanced,Alg_x_P,0.020680820979335424,0.08194245357967139,0.020680820979335424,0.08194245357967139,43
SR,SR_mean,rheology_enhanced,HA_x_P,-0.35425693452814183,-0.34323906513647057,0.35425693452814183,0.34323906513647057,43
SR,SR_mean,rheology_enhanced,TP_x_P,-0.23269368429020323,-0.16111851918655953,0.23269368429020323,0.16111851918655953,43
SR,SR_mean,rheology_enhanced,HF_x_P,-0.3019333698036898,-0.2997696985562279,0.3019333698036898,0.2997696985562279,43
SR,SR_mean,rheology_enhanced,Alg_fraction_x_HA_fraction,0.07487407332743444,0.13421431339601528,0.07487407332743444,0.13421431339601528,43
SR,SR_mean,rheology_enhanced,Eta0_mean_Pa_s,-0.4328919138560761,-0.3880192601650789,0.4328919138560761,0.3880192601650789,43
SR,SR_mean,rheology_enhanced,Cross_m_mean,-0.40741746920790856,-0.3451004794760998,0.40741746920790856,0.3451004794760998,43
SR,SR_mean,rheology_enhanced,Cross_k_mean_s,0.030348449486886524,0.13385484970197564,0.030348449486886524,0.13385484970197564,43
SR,SR_mean,rheology_enhanced,G_prime_mean_Pa,-0.4085310682326064,-0.4116093701182412,0.4085310682326064,0.4116093701182412,43
SR,SR_mean,rheology_enhanced,G_double_prime_mean_Pa,-0.37965630742151474,-0.3400780689699427,0.37965630742151474,0.3400780689699427,43
