Target,Target_column,Feature_set,Model,N,N_features,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Spearman_mean,Spearman_std
Pr,Pr_mean,core,LinearRegression,40,3,-0.2159935719920962,1.459127120178854,0.06018797442391183,0.017642412056607052,0.07854480126897256,0.02781991520506138,0.608304378755152,0.24848309841818683
Pr,Pr_mean,core,SVR_RBF,40,3,-0.5864525637325962,1.932441390651691,0.06945416033137235,0.018624611520808933,0.08907622242731467,0.02620804488821221,0.45085585712873966,0.32278268646711794
Pr,Pr_mean,core,RandomForest,40,3,-0.06880816535712056,1.1589294373104246,0.059646198086219314,0.016814802729201443,0.0747489543853883,0.025571091189005142,0.5055584252261135,0.2973123668128431
Pr,Pr_mean,core,GradientBoosting,40,3,-0.03989901340710638,0.9703070224078367,0.05781388625677273,0.01586839183934687,0.07500707958604091,0.023091768656192276,0.5615925166141448,0.25938570693004215
Pr,Pr_mean,core,XGBoost,40,3,-0.040447687037661516,0.8811037603417441,0.057654697001576424,0.015684086071351994,0.07507809857660233,0.022724625252181795,0.5512648090381087,0.24822794373333928
Pr,Pr_mean,engineered,LinearRegression,40,17,-2.060682456554201,8.388780227056792,0.07732597940145594,0.040284035285121596,0.0999124001458698,0.05584592264574884,0.4454096969525849,0.3143343557871904
Pr,Pr_mean,engineered,SVR_RBF,40,17,-0.5091159854856186,1.6036939475230787,0.06801855348945639,0.01855743703563606,0.08847708218307462,0.027596518612477524,0.47301158440018354,0.3258133365529583
Pr,Pr_mean,engineered,RandomForest,40,17,0.01440698012981058,0.9896855858433685,0.058138629909962714,0.015911805921011053,0.07300950867368437,0.0238034170296791,0.5788760216146478,0.2594550116047247
Pr,Pr_mean,engineered,GradientBoosting,40,17,0.03708330566138326,0.8282487870890124,0.05786646640341497,0.015527226830514308,0.07384458626934753,0.021677872988600147,0.5706335425281415,0.24689512772633962
Pr,Pr_mean,engineered,XGBoost,40,17,0.03238677528821431,0.8291446811240762,0.05696829869508744,0.015808679797396422,0.07347774681727315,0.022172350444690306,0.5692340699907273,0.2593832545953555
Pr,Pr_mean,rheology_enhanced,LinearRegression,40,23,-119.78566050475403,1175.359660662676,0.10943427948098634,0.2868451021979931,0.14896977952245602,0.4391231471340481,0.4199091962335084,0.31985839493631296
Pr,Pr_mean,rheology_enhanced,SVR_RBF,40,23,-0.3926075455051255,1.4140273648843722,0.06576091213138607,0.018435273661088904,0.08575155032077131,0.027985194307058637,0.5165730028716002,0.3071726137134118
Pr,Pr_mean,rheology_enhanced,RandomForest,40,23,0.0763153195490715,0.8488819438069442,0.056327363351671496,0.01581000095914801,0.07153307276047666,0.02318184142278445,0.5443307618765271,0.2748381361612446
Pr,Pr_mean,rheology_enhanced,GradientBoosting,40,23,0.04386542224979403,0.7204978225645918,0.058680047854288535,0.015759511366634185,0.0742446208898419,0.021965779777279218,0.5672046691099684,0.26366856977816805
Pr,Pr_mean,rheology_enhanced,XGBoost,40,23,0.023545172841390224,0.7722259416055082,0.05820740028858185,0.015397845235793893,0.07407409977042233,0.02120725086912378,0.5418014508651532,0.26641088978851346
SR,SR_mean,core,LinearRegression,43,3,-0.16957025962542172,1.1155077040664367,0.9771001322002855,0.2622285187001198,1.200614995055689,0.38637156136228995,0.4673333333333333,0.3287953103038191
SR,SR_mean,core,SVR_RBF,43,3,-0.3164713292393754,1.3415800301153118,0.9127356994327629,0.30011238606683194,1.2330734782893789,0.4933811228084856,0.4349523809523809,0.33651285084489113
SR,SR_mean,core,RandomForest,43,3,-0.26997617676728625,0.7854930708827904,1.0342685987551026,0.2675355997115011,1.2755619603542754,0.3420075851600817,0.2978634543441178,0.3522029080729859
SR,SR_mean,core,GradientBoosting,43,3,-0.35139236785894234,0.9764917264103614,1.011180772270281,0.32620447640535466,1.3049068119473,0.440360335285259,0.32936470477524404,0.3315574950338868
SR,SR_mean,core,XGBoost,43,3,-0.3093342940143856,0.8129928877667971,1.0401728142669464,0.2924711966119684,1.2873627637189415,0.36101601680733314,0.3221981256186092,0.33056510051766336
SR,SR_mean,engineered,LinearRegression,43,17,-1.1209407192894503,1.8623532976510373,1.1019116897198993,0.39826831986144456,1.6003354766552107,0.685801119766533,0.3982380952380953,0.32377444070478756
SR,SR_mean,engineered,SVR_RBF,43,17,0.009327706667811972,0.7035156894371408,0.8032797886598604,0.2576801950478626,1.107581353410197,0.3861047527894706,0.5116904761904761,0.29675923806071935
SR,SR_mean,engineered,RandomForest,43,17,-0.07289878904566864,0.7694851288502268,0.9220753242193931,0.27121048505282974,1.1681199474118777,0.3630624497236119,0.41095238095238096,0.33864303324417916
SR,SR_mean,engineered,GradientBoosting,43,17,-0.08418906308454702,0.9851027815699337,0.8495236584759073,0.29991126992074785,1.1383545564457003,0.4296107172008052,0.44813765970295727,0.3448613338171472
