Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle
76,60,40,100,90,1.32876,0.0307992,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.0,1.6666666666666667,2.5,6000,4000,10000,40.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,9000,5400,3600,9000
77,60,40,105,90,1.46489,0.0155806,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.05,1.75,2.625,6300,4200,10500,42.0,2400,0.24,1.5707963267948966,1.0,6.123233995736766e-17,9450,5400,3600,9000
78,60,40,85,120,1.17845,0.0104487,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.85,1.4166666666666667,2.125,5100,3400,8500,34.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,10200,7200,4800,12000
79,60,40,90,120,1.14397,0.0103393,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.9,1.5,2.25,5400,3600,9000,36.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,10800,7200,4800,12000
80,60,40,95,120,1.19772,0.0201288,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,0.95,1.5833333333333333,2.375,5700,3800,9500,38.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,11400,7200,4800,12000
81,60,40,100,120,1.16671,0.0273399,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.0,1.6666666666666667,2.5,6000,4000,10000,40.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,12000,7200,4800,12000
82,60,40,105,120,1.11558,0.0117484,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,100,10.0,0.4,0.6,1.5,1.05,1.75,2.625,6300,4200,10500,42.0,2400,0.24,2.0943951023931953,0.8660254037844387,-0.4999999999999998,12600,7200,4800,12000
83,60,60,140,60,1.50363,0.047354,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.1666666666666667,2.3333333333333335,2.3333333333333335,8400,8400,16800,70.0,3600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,8400,3600,3600,7200
84,60,60,150,60,1.81434,0.0715356,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.25,2.5,2.5,9000,9000,18000,75.0,3600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,9000,3600,3600,7200
85,60,60,155,60,1.78987,0.0386035,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2916666666666667,2.5833333333333335,2.5833333333333335,9300,9300,18600,77.5,3600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,9300,3600,3600,7200
86,60,60,160,60,1.70334,0.0283493,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,9600,9600,19200,80.0,3600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,9600,3600,3600,7200
87,60,60,140,90,1.27302,0.0232889,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.1666666666666667,2.3333333333333335,2.3333333333333335,8400,8400,16800,70.0,3600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,12600,5400,5400,10800
88,60,60,145,90,1.4647,0.0146547,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2083333333333333,2.4166666666666665,2.4166666666666665,8700,8700,17400,72.5,3600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,13050,5400,5400,10800
89,60,60,150,90,1.62833,0.0337752,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.25,2.5,2.5,9000,9000,18000,75.0,3600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,13500,5400,5400,10800
90,60,60,155,90,1.49292,0.0278472,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2916666666666667,2.5833333333333335,2.5833333333333335,9300,9300,18600,77.5,3600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,13950,5400,5400,10800
91,60,60,160,90,1.54228,0.0432433,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,9600,9600,19200,80.0,3600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,14400,5400,5400,10800
92,60,60,140,120,1.20107,0.00993045,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.1666666666666667,2.3333333333333335,2.3333333333333335,8400,8400,16800,70.0,3600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,16800,7200,7200,14400
93,60,60,145,120,1.21688,0.0252817,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2083333333333333,2.4166666666666665,2.4166666666666665,8700,8700,17400,72.5,3600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,17400,7200,7200,14400
94,60,60,150,120,1.30275,0.00780293,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.25,2.5,2.5,9000,9000,18000,75.0,3600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,18000,7200,7200,14400
95,60,60,155,120,1.35987,0.0105086,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2916666666666667,2.5833333333333335,2.5833333333333335,9300,9300,18600,77.5,3600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,18600,7200,7200,14400
96,60,60,160,120,1.16353,0.0154409,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,9600,9600,19200,80.0,3600,0.25,2.0943951023931953,0.8660254037844387,-0.4999999999999998,19200,7200,7200,14400
