Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Pr_mean,Pr_std,Qm_mean_mg_s,Qm_std_mg_s,SR_mean,SR_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction
11,20,80,115,0.883,0.002,1.438,0.102,7.511,0.716,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.15,5.75,1.4375,2300,9200,11500,92.0,1600,0.16000000000000003
12,40,40,55,1.005,0.035,0.778,0.112,4.142,0.245,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.6875,1.375,1.375,2200,2200,4400,27.5,1600,0.25
13,40,40,60,1.048,0.034,1.134,0.006,4.559,0.305,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.75,1.5,1.5,2400,2400,4800,30.0,1600,0.25
14,40,40,65,1.098,0.099,1.797,0.171,5.156,0.373,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.8125,1.625,1.625,2600,2600,5200,32.5,1600,0.25
15,40,40,70,0.999,0.081,2.403,0.028,4.706,1.769,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.875,1.75,1.75,2800,2800,5600,35.0,1600,0.25
16,40,40,75,1.004,0.045,2.881,0.125,7.238,0.35,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.9375,1.875,1.875,3000,3000,6000,37.5,1600,0.25
17,40,40,100,,,,,7.447,0.105,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,1.25,2.5,2.5,4000,4000,8000,50.0,1600,0.25
18,40,60,75,0.969,0.038,0.658,0.04,4.586,1.698,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.75,1.875,1.25,3000,4500,7500,45.0,2400,0.24
19,40,60,85,1.094,0.066,0.874,0.01,3.873,0.245,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.85,2.125,1.4166666666666667,3400,5100,8500,51.0,2400,0.24
20,40,60,95,1.034,0.055,1.363,0.065,4.056,0.99,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.95,2.375,1.5833333333333333,3800,5700,9500,57.0,2400,0.24
21,40,60,105,1.081,0.127,2.547,0.056,5.379,0.098,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.05,2.625,1.75,4200,6300,10500,63.0,2400,0.24
22,40,60,115,0.936,0.025,3.336,0.021,6.194,0.384,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.15,2.875,1.9166666666666667,4600,6900,11500,69.0,2400,0.24
23,40,80,110,0.985,0.048,0.811,0.039,3.129,0.062,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,0.9166666666666666,2.75,1.375,4400,8800,13200,73.33333333333333,3200,0.2222222222222222
