Target,Validation,Best_core_model,Core_N_features,Core_R2,Core_MAE,Core_RMSE,Core_Spearman,Best_engineered_model,Engineered_N_features,Engineered_R2,Engineered_MAE,Engineered_RMSE,Engineered_Spearman,Delta_R2_engineered_minus_core,Delta_MAE_core_minus_engineered,Delta_RMSE_core_minus_engineered,Delta_Spearman_engineered_minus_core,Engineered_improved_RMSE,Engineered_improved_Spearman
AF,LOFO,RandomForest,4,0.7793056308492468,0.11702097118055599,0.15503079894773217,0.8678190758738454,RandomForest,25,0.7839706342987484,0.11261961354166651,0.15338353904515026,0.861462289744981,0.0046650034495016035,0.004401357638889478,0.0016472599025819101,-0.006356786128864478,True,False
AF,Repeated_KFold,RandomForest,4,0.7373603296721052,0.10736185210789478,0.15746454687453168,0.8852638412782505,RandomForest,25,0.7536219775773959,0.10385491013947361,0.15254514212150122,0.8881754385964912,0.01626164790529072,0.003506941968421176,0.00491940475303046,0.002911597318240644,True,True
Pr,LOFO,LinearRegression,3,0.04280022910437142,0.06923042956029349,0.0954248335210304,0.4933858732661693,SVR_RBF,17,-0.33727135532498087,0.08518577506266747,0.11278981620469047,0.22047096447528008,-0.3800715844293523,-0.015955345502373985,-0.017364982683660074,-0.2729149087908892,False,False
Pr,Repeated_KFold,RandomForest,3,-0.05486648779855324,0.06179157916666653,0.07702195215364077,0.5035055063619103,RandomForest,17,-0.020735222366888028,0.05939429999999998,0.07459995775502913,0.5745373968002992,0.03413126543166521,0.002397279166666544,0.0024219943986116405,0.07103189043838898,True,True
Qm,LOFO,SVR_RBF,3,-0.36918980552669267,0.647488511996171,0.7776438810815902,0.29174484052532834,SVR_RBF,17,-0.4232579051926084,0.6414872533844249,0.7928494568116743,0.1803001876172608,-0.05406809966591575,0.006001258611746052,-0.015205575730084075,-0.11144465290806754,False,False
Qm,Repeated_KFold,SVR_RBF,3,0.5505385245251404,0.22085991373792033,0.3233295145331874,0.8892857142857145,SVR_RBF,17,0.7044341824836596,0.17789270725746278,0.2595218505252712,0.924761904761905,0.15389565795851923,0.04296720648045754,0.06380766400791621,0.03547619047619055,True,True
SR,LOFO,SVR_RBF,3,-0.15414866972408392,1.1500332460991913,1.3739114656586318,0.1546360616128058,SVR_RBF,17,0.42463875805943985,0.7967997755630652,0.970059050144022,0.660676532769556,0.5787874277835238,0.3532334705361261,0.4038524155146097,0.5060404711567501,True,True
SR,Repeated_KFold,LinearRegression,3,-0.16957025962542172,0.9771001322002855,1.200614995055689,0.4673333333333333,SVR_RBF,17,0.00932770666781206,0.8032797886598603,1.107581353410197,0.5116904761904761,0.1788979662932338,0.1738203435404252,0.093033641645492,0.04435714285714282,True,True
