Target,Feature_set,Model,Validation,N,N_features,R2,MAE,RMSE,Spearman,Feature_list
SR,core,LinearRegression,LOFO,43,3,-0.15637687184301186,1.0757089183182422,1.3752370645092387,0.2848082150407732,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,SVR_RBF,Repeated_KFold,43,3,-0.3164713292393754,0.9127356994327629,1.2330734782893789,0.4349523809523809,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,SVR_RBF,LOFO,43,3,-0.15414866972408392,1.1500332460991913,1.3739114656586318,0.1546360616128058,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,RandomForest,Repeated_KFold,43,3,-0.17018638539442685,0.9675110421296287,1.2176472464293138,0.3578863284597247,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,RandomForest,LOFO,43,3,-0.363367595959766,1.204147596899225,1.4932562941487917,-0.01072345579365751,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,GradientBoosting,Repeated_KFold,43,3,-0.3342694453218881,0.984477430563075,1.2845461134766163,0.3948419740987894,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,GradientBoosting,LOFO,43,3,-0.3235124655663424,1.1579257919652919,1.4712683354852172,0.15596088305931458,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,XGBoost,Repeated_KFold,43,3,-0.4391222600946768,1.0475314075642164,1.341391286373363,0.29636241821163295,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,core,XGBoost,LOFO,43,3,-0.3034849196227476,1.1235545550058055,1.4600941997105192,0.12288520198269477,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
SR,engineered,LinearRegression,Repeated_KFold,43,17,-1.120940719289456,1.101911689719901,1.600335476655212,0.3982380952380953,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,LinearRegression,LOFO,43,17,-68117.71996843921,169.420545095696,333.7806141443256,-0.26260948353971614,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,SVR_RBF,Repeated_KFold,43,17,0.00932770666781206,0.8032797886598603,1.107581353410197,0.5116904761904761,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,SVR_RBF,LOFO,43,17,0.42463875805943985,0.7967997755630652,0.970059050144022,0.660676532769556,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,RandomForest,Repeated_KFold,43,17,-0.04380754523576666,0.8924857342592594,1.1432829722303932,0.4261666666666667,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,RandomForest,LOFO,43,17,-0.328925280554375,1.1904303875968962,1.474273814373286,-0.08788885533071579,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,GradientBoosting,Repeated_KFold,43,17,-0.1993569153705655,0.8934253052292699,1.2022390850701377,0.3798024235151717,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,GradientBoosting,LOFO,43,17,-1.2783951555887794,1.5438974374017134,1.9303781558495936,-0.2446483182171734,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,XGBoost,Repeated_KFold,43,17,-0.17149995394346218,0.8961378932876058,1.2083190579902203,0.39749362031271895,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
SR,engineered,XGBoost,LOFO,43,17,-1.0760944671033577,1.4143937467087149,1.842686379485613,-0.2247140108068852,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,core,LinearRegression,Repeated_KFold,40,3,-0.5354146405018624,0.47060712943041866,0.5734940513236837,0.5978571428571429,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,LinearRegression,LOFO,40,3,-0.49820668963307235,0.6865873322083812,0.8134573668887585,0.17748592870544094,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,SVR_RBF,Repeated_KFold,40,3,0.5505385245251404,0.22085991373792033,0.3233295145331874,0.8892857142857145,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,SVR_RBF,LOFO,40,3,-0.36918980552669267,0.647488511996171,0.7776438810815902,0.29174484052532834,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,RandomForest,Repeated_KFold,40,3,-0.17359431546224882,0.3780591333333331,0.5103874082041896,0.5646329107894996,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,RandomForest,LOFO,40,3,-0.8855619327819162,0.7583422500000012,0.9125766062368875,0.0678395514794242,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,GradientBoosting,Repeated_KFold,40,3,0.09624666969734046,0.3360268924532933,0.44382936132246237,0.6516710336598708,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,GradientBoosting,LOFO,40,3,-1.0015581605299917,0.8132897450913832,0.9402276912790758,0.19933369521933064,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,XGBoost,Repeated_KFold,40,3,-0.6068733224938245,0.44308855165245015,0.587322699386052,0.547764351222519,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,core,XGBoost,LOFO,40,3,-1.4624513291535917,0.8993689534589647,1.042876204786638,0.10098072319020705,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Qm,engineered,LinearRegression,Repeated_KFold,40,17,0.24201864858192615,0.21166756728390154,0.3024058698301709,0.8630952380952382,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,LinearRegression,LOFO,40,17,-84833.47058621567,92.16010191431727,193.56868852532298,-0.009568480300187619,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,SVR_RBF,Repeated_KFold,40,17,0.7044341824836596,0.17789270725746278,0.2595218505252712,0.924761904761905,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,SVR_RBF,LOFO,40,17,-0.4232579051926084,0.6414872533844249,0.7928494568116743,0.1803001876172608,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,RandomForest,Repeated_KFold,40,17,0.2264417535059955,0.3335490749999998,0.443335517794406,0.7233333333333334,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,RandomForest,LOFO,40,17,-1.2299562996896336,0.8450864166666674,0.9924236536338429,-0.11632815810911744,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,GradientBoosting,Repeated_KFold,40,17,0.2818577037258982,0.30330319586990895,0.39581126331489824,0.7571564444193468,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,GradientBoosting,LOFO,40,17,-1.4688795252606472,0.8870316814485122,1.0442365247508054,-0.018387354023699207,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,XGBoost,Repeated_KFold,40,17,0.47016827519843557,0.26393542790502306,0.3520386518616415,0.7825239538096938,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
Qm,engineered,XGBoost,LOFO,40,17,-1.1055372724882675,0.8209322815895079,0.9643404801222654,0.013320825515947468,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, TP, TP_pct_wv, HF, Alg_fraction_feature, Alg_HA_ratio_safe, P_over_TP, P_over_Alg, P_over_HA, Alg_x_P, HA_x_P, TP_x_P, HF_x_P, Alg_x_HA, Alg_fraction_x_HA_fraction"
AF,core,LinearRegression,Repeated_KFold,96,4,0.738887705007452,0.11681383815122373,0.1588010116935146,0.848238095238095,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,LinearRegression,LOFO,96,4,0.7679551781262167,0.11672038231331618,0.1589674836188357,0.8683125339121,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,SVR_RBF,Repeated_KFold,96,4,0.7218716342325839,0.1141393955495801,0.16229305116678536,0.8698521303258144,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,SVR_RBF,LOFO,96,4,0.7309354625197872,0.12656481079421167,0.17117904130853667,0.845103092783505,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,RandomForest,Repeated_KFold,96,4,0.7373603296721052,0.10736185210789478,0.15746454687453168,0.8852638412782505,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
AF,core,RandomForest,LOFO,96,4,0.7793056308492468,0.11702097118055599,0.15503079894773217,0.8678190758738454,"Alg_mg_ml, HA_mg_ml, Pressure_kPa, Angle_deg"
